Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error,Index
01/30/2025,11:50:56,257.93,431680,5,1,5,1,5,0,28,0,5,0,9,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431680
01/30/2025,11:50:56,457.93,431681,5,2,4,1,7,0,29,0,4,1,6,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431681
01/30/2025,11:50:56,657.93,431682,4,1,6,0,5,0,28,1,3,2,6,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431682
01/30/2025,11:50:56,857.93,431683,6,1,6,0,4,1,28,1,5,1,8,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431683
01/30/2025,11:50:57,57.93,431684,5,1,4,1,6,0,29,0,5,0,8,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431684
01/30/2025,11:50:57,257.93,431685,4,2,6,0,6,0,29,0,4,1,9,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431685
01/30/2025,11:50:57,457.93,431686,5,1,6,0,5,1,28,1,3,1,76,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431686
01/30/2025,11:50:57,657.93,431687,6,1,5,0,5,1,27,0,5,1,8,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431687
01/30/2025,11:50:57,857.93,431688,4,1,4,1,6,0,29,0,4,1,11,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431688
01/30/2025,11:50:58,57.93,431689,4,1,6,0,5,0,29,1,3,2,43,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431689
01/30/2025,11:50:58,257.93,431690,5,1,5,0,4,1,28,1,4,1,44,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431690
01/30/2025,11:50:58,457.93,431691,5,1,5,1,6,0,29,0,5,0,37,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431691
01/30/2025,11:50:58,657.93,431692,5,1,5,1,6,0,31,0,4,1,33,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431692
01/30/2025,11:50:58,857.93,431693,5,1,7,0,5,1,30,1,4,1,14,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431693
01/30/2025,11:50:59,57.93,431694,5,1,5,0,4,1,29,1,5,1,9,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431694
01/30/2025,11:50:59,257.93,431695,5,1,4,1,6,0,30,0,5,0,7,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431695
01/30/2025,11:50:59,457.93,431696,4,2,6,0,5,0,31,1,4,2,6,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431696
01/30/2025,11:50:59,657.93,431697,6,1,6,0,5,1,30,1,4,1,8,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431697
01/30/2025,11:50:59,857.93,431698,5,1,5,1,5,1,30,0,6,1,8,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431698
01/30/2025,11:51:00,57.93,431699,5,1,4,0,7,0,31,0,4,1,7,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431699
01/30/2025,11:51:00,257.93,431700,5,1,6,0,5,1,31,1,4,2,6,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431700
01/30/2025,11:51:00,457.93,431701,6,1,5,0,5,1,30,1,5,3,9,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431701
01/30/2025,11:51:00,657.93,431702,5,1,5,1,7,0,31,0,5,4,7,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431702
01/30/2025,11:51:00,857.93,431703,5,1,5,0,6,0,32,0,4,7,6,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431703
01/30/2025,11:51:01,57.93,431704,6,1,7,0,5,1,30,1,5,3,8,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431704
01/30/2025,11:51:01,257.93,431705,6,1,5,1,6,0,30,0,6,1,10,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431705
01/30/2025,11:51:01,457.93,431706,5,2,5,1,7,0,32,0,5,1,7,2,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431706
01/30/2025,11:51:01,657.93,431707,5,1,6,0,6,0,31,1,4,2,6,3,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431707
01/30/2025,11:51:01,857.93,431708,6,1,6,0,5,1,30,1,5,1,9,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431708
01/30/2025,11:51:02,57.93,431709,5,1,5,1,7,0,31,0,5,0,10,1,0.00,0.00,0.00,5.01,1,40,8,4095,0,0,431709
